order_id,customer_id,order_date,required_date,shipped_date,delivered_date,order_status,sales_channel,payment_terms_days,subtotal,tax_amount,shipping_amount,total_amount,total_cost,gross_profit,delivery_status,delivery_delay_days,delivery_lead_time_days,is_overdue_open_order
ORD-000001,CUS-0039,2026-03-13,2026-03-20,2026-03-19,,Shipped,Tender,30,1666330.0,299939.4,0.0,1966269.4,1264600.0,401730.0,Overdue Open Order,165,,True
ORD-000002,CUS-0036,2025-04-23,2025-04-30,,,Pending,Direct Sales,45,1970257.5,354646.35,0.0,2324903.85,1401650.0,568607.5,Overdue Open Order,489,,True
ORD-000003,CUS-0004,2025-10-23,2025-11-06,2025-10-29,2025-10-31,Delivered,Tender,30,1580768.75,284538.38,0.0,1865307.12,1200450.0,380318.75,On Time,0,8.0,False
ORD-000004,CUS-0046,2025-11-23,2025-11-29,2025-11-28,2025-11-29,Delivered,Phone / WhatsApp,60,3482450.0,626841.0,0.0,4109291.0,2616050.0,866400.0,On Time,0,6.0,False
ORD-000005,CUS-0076,2025-09-28,2025-10-13,2025-10-03,2025-10-04,Delivered,Corporate Account,45,226765.0,40817.7,0.0,267582.7,150350.0,76415.0,On Time,0,6.0,False
ORD-000006,CUS-0039,2025-10-28,2025-11-04,2025-10-30,2025-11-01,Delivered,Corporate Account,30,3711077.5,667993.95,0.0,4379071.45,2863650.0,847427.5,On Time,0,4.0,False
ORD-000007,CUS-0005,2026-07-16,2026-07-28,2026-07-22,2026-07-26,Delivered,Website,30,1904280.0,342770.4,0.0,2247050.4,1423200.0,481080.0,On Time,0,10.0,False
ORD-000008,CUS-0037,2026-02-20,2026-02-26,2026-02-25,2026-02-26,Delivered,Corporate Account,30,44000.0,7920.0,3000.0,54920.0,28000.0,16000.0,On Time,0,6.0,False
ORD-000009,CUS-0045,2025-04-28,2025-05-11,2025-05-01,2025-05-05,Delivered,Direct Sales,60,870780.0,156740.4,0.0,1027520.4,595700.0,275080.0,On Time,0,7.0,False
ORD-000010,CUS-0104,2025-12-04,2025-12-10,,,Cancelled,Direct Sales,30,425767.5,76638.15,0.0,502405.65,328600.0,97167.5,Cancelled,0,,False
ORD-000011,CUS-0088,2025-08-25,2025-09-08,,,Pending,Corporate Account,30,797798.75,143603.77,0.0,941402.53,601500.0,196298.75,Overdue Open Order,358,,True
ORD-000012,CUS-0066,2026-01-05,2026-01-18,2026-01-12,2026-01-16,Delivered,Website,30,201328.75,36239.17,0.0,237567.92,134750.0,66578.75,On Time,0,11.0,False
ORD-000013,CUS-0055,2025-08-31,2025-09-08,2025-09-01,2025-09-05,Delivered,Direct Sales,60,2642535.0,475656.3,0.0,3118191.3,1930350.0,712185.0,On Time,0,5.0,False
ORD-000014,CUS-0005,2025-10-25,2025-11-07,2025-10-28,2025-11-01,Delivered,Corporate Account,30,771827.5,138928.95,0.0,910756.45,644400.0,127427.5,On Time,0,7.0,False
ORD-000015,CUS-0068,2025-11-02,2025-11-12,2025-11-03,2025-11-06,Delivered,Phone / WhatsApp,30,279200.0,50256.0,0.0,329456.0,198950.0,80250.0,On Time,0,4.0,False
ORD-000016,CUS-0115,2026-03-30,2026-04-09,2026-03-31,2026-04-03,Delivered,Corporate Account,30,544167.5,97950.15,0.0,642117.65,445300.0,98867.5,On Time,0,4.0,False
ORD-000017,CUS-0084,2026-02-10,2026-02-14,,,Processing,Phone / WhatsApp,30,80100.0,14418.0,3000.0,97518.0,54600.0,25500.0,Overdue Open Order,199,,True
