product_id,sku,product_name,category,unit_price,unit_cost,gross_margin_pct,reorder_level,preferred_stock_level,supplier_lead_time_days,product_status,units_sold,sales_revenue
PRD-0001,F-0001,Storage Credenza,Furniture,49000,35150,28.27,9,46,30,Active,300,14010325.0
PRD-0002,E-0002,Voltage Stabilizer 5KVA,Electrical,52050,38100,26.8,33,139,7,Active,595,29688018.75
PRD-0003,IS-0003,Portable Air Compressor,Industrial Supplies,88300,65000,26.39,10,21,30,Active,779,65498732.5
PRD-0004,E-0004,Emergency Light,Electrical,7100,4600,35.21,13,57,10,Active,2570,17219807.5
PRD-0005,SE-0005,Fire Extinguisher 6kg,Safety Equipment,11500,7900,31.3,15,110,14,Active,10164,110410925.0
PRD-0006,IS-0006,Angle Grinder,Industrial Supplies,27000,19650,27.22,8,50,7,Active,825,20965500.0
PRD-0007,IN-0007,Cat6 Cable Box 305m,IT & Networking,33250,23700,28.72,10,53,5,Active,3490,110523000.0
PRD-0008,IN-0008,Fiber Media Converter,IT & Networking,11400,7800,31.58,4,51,21,Active,880,9495060.0
PRD-0009,OE-0009,Laser Printer,Office Equipment,75050,56000,25.38,12,52,21,Active,1939,138395952.5
PRD-0010,IN-0010,24-Port Managed Network Switch,IT & Networking,50450,37650,25.37,15,56,21,Active,395,18843075.0
PRD-0011,F-0011,Executive Office Chair,Furniture,50250,35950,28.46,10,58,14,Active,1617,77059631.25
PRD-0012,IS-0012,Industrial Tool Kit,Industrial Supplies,42850,31750,25.9,14,43,14,Active,227,9250243.75
PRD-0013,C-0013,Packaging Tape Carton,Consumables,8750,5350,38.86,29,155,14,Active,6877,56966875.0
PRD-0014,F-0014,Conference Table 10 Person,Furniture,199750,146450,26.68,14,37,5,Active,749,141403025.0
PRD-0015,OE-0015,Barcode Scanner,Office Equipment,19300,12700,34.2,11,30,21,Active,415,7597445.0
PRD-0016,IS-0016,Cordless Screwdriver Set,Industrial Supplies,18750,12900,31.2,11,55,7,Active,809,14339062.5
PRD-0017,OE-0017,Cash Drawer,Office Equipment,15250,10000,34.43,9,37,14,Active,834,12096681.25
PRD-0018,IS-0018,Heavy Duty Drill Machine,Industrial Supplies,39400,29550,25.0,11,56,5,Active,254,9372275.0
PRD-0019,E-0019,Circuit Breaker 32A,Electrical,2950,1850,37.29,33,54,7,Active,1113,3157163.75
PRD-0020,F-0020,Ergonomic Task Chair,Furniture,31900,22100,30.72,13,31,10,Active,162,4825672.5
PRD-0021,F-0021,Executive Desk,Furniture,151550,109750,27.58,6,48,30,Active,1292,185754835.0
PRD-0022,IS-0022,Digital Multimeter,Industrial Supplies,13950,9250,33.69,9,51,30,Active,997,13158337.5
PRD-0023,OE-0023,Conference Speakerphone,Office Equipment,46600,33950,27.15,8,44,7,Active,1221,53817175.0
PRD-0024,C-0024,Printer Toner Cartridge,Consumables,17950,12350,31.2,46,146,21,Active,2393,40829967.5
PRD-0025,F-0025,Steel Filing Cabinet,Furniture,32700,22850,30.12,5,60,5,Active,532,16396597.5
PRD-0026,C-0026,Printer Label Roll Pack,Consumables,5050,3050,39.6,38,202,5,Active,4520,21577387.5
