return_id,order_id,product_id,return_date,quantity_returned,return_reason,refund_amount,return_status,return_month
RET-00001,ORD-000035,PRD-0033,2025-12-16,3,Defective Product,251085.0,Completed,2025-12
RET-00002,ORD-000035,PRD-0006,2025-12-13,4,Defective Product,102600.0,Completed,2025-12
RET-00003,ORD-000035,PRD-0065,2025-12-13,12,Quality Issue,99900.0,Completed,2025-12
RET-00004,ORD-000087,PRD-0069,2026-01-15,5,Excess Quantity,182437.5,Completed,2026-01
RET-00005,ORD-000087,PRD-0040,2026-01-12,5,Damaged in Transit,326293.75,Completed,2026-01
RET-00006,ORD-000179,PRD-0023,2026-03-26,7,Incorrect Item,301735.0,Completed,2026-03
RET-00007,ORD-000179,PRD-0066,2026-03-26,50,Incorrect Item,265000.0,Completed,2026-03
RET-00008,ORD-000179,PRD-0036,2026-03-22,10,Incorrect Item,1535850.0,Completed,2026-03
RET-00009,ORD-000258,PRD-0056,2026-03-06,8,Incorrect Item,128440.0,Completed,2026-03
RET-00010,ORD-000271,PRD-0054,2025-09-30,6,Quality Issue,36000.0,Completed,2025-09
RET-00011,ORD-000271,PRD-0034,2025-09-24,1,Incorrect Item,2660.0,Completed,2025-09
RET-00012,ORD-000271,PRD-0046,2025-09-11,3,Excess Quantity,391830.0,Completed,2025-09
RET-00013,ORD-000317,PRD-0060,2026-05-04,4,Damaged in Transit,62510.0,Completed,2026-05
RET-00014,ORD-000317,PRD-0056,2026-05-17,1,Quality Issue,16055.0,Completed,2026-05
RET-00015,ORD-000359,PRD-0069,2026-02-10,1,Defective Product,40657.5,Completed,2026-02
RET-00016,ORD-000359,PRD-0009,2026-02-10,4,Excess Quantity,285190.0,Completed,2026-02
RET-00017,ORD-000364,PRD-0038,2026-06-16,1,Quality Issue,30685.0,Completed,2026-06
RET-00018,ORD-000366,PRD-0013,2026-06-12,49,Excess Quantity,385875.0,Completed,2026-06
RET-00019,ORD-000366,PRD-0021,2026-05-31,2,Excess Quantity,295522.5,Completed,2026-05
RET-00020,ORD-000366,PRD-0031,2026-06-22,27,Damaged in Transit,41040.0,Completed,2026-06
RET-00021,ORD-000380,PRD-0032,2025-10-12,1,Quality Issue,354598.75,Approved,2025-10
RET-00022,ORD-000385,PRD-0048,2026-07-12,11,Customer Requirement Changed,1764400.0,Completed,2026-07
RET-00023,ORD-000385,PRD-0022,2026-07-10,9,Incorrect Item,125550.0,Completed,2026-07
RET-00024,ORD-000385,PRD-0007,2026-07-25,4,Incorrect Item,119700.0,Completed,2026-07
RET-00025,ORD-000385,PRD-0049,2026-07-31,9,Incorrect Item,17718.75,Completed,2026-07
RET-00026,ORD-000389,PRD-0033,2026-05-05,1,Defective Product,79290.0,Completed,2026-05
RET-00027,ORD-000389,PRD-0034,2026-04-28,2,Incorrect Item,4900.0,Completed,2026-04
RET-00028,ORD-000439,PRD-0033,2026-03-08,3,Damaged in Transit,237870.0,Completed,2026-03
RET-00029,ORD-000452,PRD-0005,2026-05-19,26,Incorrect Item,269100.0,Completed,2026-05
RET-00030,ORD-000452,PRD-0007,2026-06-16,6,Customer Requirement Changed,189525.0,Completed,2026-06
RET-00031,ORD-000452,PRD-0008,2026-06-07,6,Incorrect Item,68400.0,Completed,2026-06
RET-00032,ORD-000472,PRD-0052,2026-07-12,1,Defective Product,36360.0,Completed,2026-07
RET-00033,ORD-000520,PRD-0005,2025-12-12,1,Damaged in Transit,10637.5,Completed,2025-12
RET-00034,ORD-000520,PRD-0008,2025-12-26,3,Excess Quantity,34200.0,Completed,2025-12
RET-00035,ORD-000532,PRD-0005,2025-10-19,7,Excess Quantity,78487.5,Completed,2025-10
RET-00036,ORD-000532,PRD-0013,2025-10-07,7,Quality Issue,56656.25,Completed,2025-10
RET-00037,ORD-000534,PRD-0027,2025-12-03,24,Quality Issue,262200.0,Completed,2025-12
RET-00038,ORD-000563,PRD-0053,2025-09-10,5,Quality Issue,251250.0,Completed,2025-09
RET-00039,ORD-000563,PRD-0007,2025-09-13,2,Customer Requirement Changed,66500.0,Completed,2025-09
RET-00040,ORD-000571,PRD-0030,2025-12-03,32,Customer Requirement Changed,1032480.0,Completed,2025-12
