movement_id,product_id,movement_date,movement_type,quantity_change,reference_type,reference_id
MOV-0000001,PRD-0001,2025-02-28,OPENING_BALANCE,109,Opening Balance,
MOV-0000002,PRD-0002,2025-02-28,OPENING_BALANCE,307,Opening Balance,
MOV-0000003,PRD-0003,2025-02-28,OPENING_BALANCE,22,Opening Balance,
MOV-0000004,PRD-0004,2025-02-28,OPENING_BALANCE,128,Opening Balance,
MOV-0000005,PRD-0005,2025-02-28,OPENING_BALANCE,204,Opening Balance,
MOV-0000006,PRD-0006,2025-02-28,OPENING_BALANCE,73,Opening Balance,
MOV-0000007,PRD-0007,2025-02-28,OPENING_BALANCE,83,Opening Balance,
MOV-0000008,PRD-0008,2025-02-28,OPENING_BALANCE,120,Opening Balance,
MOV-0000009,PRD-0009,2025-02-28,OPENING_BALANCE,90,Opening Balance,
MOV-0000010,PRD-0010,2025-02-28,OPENING_BALANCE,62,Opening Balance,
MOV-0000011,PRD-0011,2025-02-28,OPENING_BALANCE,113,Opening Balance,
MOV-0000012,PRD-0012,2025-02-28,OPENING_BALANCE,50,Opening Balance,
MOV-0000013,PRD-0013,2025-02-28,OPENING_BALANCE,293,Opening Balance,
MOV-0000014,PRD-0014,2025-02-28,OPENING_BALANCE,68,Opening Balance,
MOV-0000015,PRD-0015,2025-02-28,OPENING_BALANCE,40,Opening Balance,
MOV-0000016,PRD-0016,2025-02-28,OPENING_BALANCE,105,Opening Balance,
MOV-0000017,PRD-0017,2025-02-28,OPENING_BALANCE,38,Opening Balance,
MOV-0000018,PRD-0018,2025-02-28,OPENING_BALANCE,87,Opening Balance,
MOV-0000019,PRD-0019,2025-02-28,OPENING_BALANCE,101,Opening Balance,
MOV-0000020,PRD-0020,2025-02-28,OPENING_BALANCE,33,Opening Balance,
MOV-0000021,PRD-0021,2025-02-28,OPENING_BALANCE,70,Opening Balance,
MOV-0000022,PRD-0022,2025-02-28,OPENING_BALANCE,117,Opening Balance,
MOV-0000023,PRD-0023,2025-02-28,OPENING_BALANCE,87,Opening Balance,
MOV-0000024,PRD-0024,2025-02-28,OPENING_BALANCE,207,Opening Balance,
MOV-0000025,PRD-0025,2025-02-28,OPENING_BALANCE,133,Opening Balance,
MOV-0000026,PRD-0026,2025-02-28,OPENING_BALANCE,304,Opening Balance,
MOV-0000027,PRD-0027,2025-02-28,OPENING_BALANCE,352,Opening Balance,
MOV-0000028,PRD-0028,2025-02-28,OPENING_BALANCE,178,Opening Balance,
MOV-0000029,PRD-0029,2025-02-28,OPENING_BALANCE,51,Opening Balance,
MOV-0000030,PRD-0030,2025-02-28,OPENING_BALANCE,122,Opening Balance,
MOV-0000031,PRD-0031,2025-02-28,OPENING_BALANCE,266,Opening Balance,
MOV-0000032,PRD-0032,2025-02-28,OPENING_BALANCE,95,Opening Balance,
MOV-0000033,PRD-0033,2025-02-28,OPENING_BALANCE,39,Opening Balance,
MOV-0000034,PRD-0034,2025-02-28,OPENING_BALANCE,46,Opening Balance,
MOV-0000035,PRD-0035,2025-02-28,OPENING_BALANCE,70,Opening Balance,
MOV-0000036,PRD-0036,2025-02-28,OPENING_BALANCE,59,Opening Balance,
MOV-0000037,PRD-0037,2025-02-28,OPENING_BALANCE,219,Opening Balance,
MOV-0000038,PRD-0038,2025-02-28,OPENING_BALANCE,122,Opening Balance,
MOV-0000039,PRD-0039,2025-02-28,OPENING_BALANCE,125,Opening Balance,
MOV-0000040,PRD-0040,2025-02-28,OPENING_BALANCE,58,Opening Balance,
MOV-0000041,PRD-0041,2025-02-28,OPENING_BALANCE,66,Opening Balance,
MOV-0000042,PRD-0042,2025-02-28,OPENING_BALANCE,156,Opening Balance,
MOV-0000043,PRD-0043,2025-02-28,OPENING_BALANCE,61,Opening Balance,
MOV-0000044,PRD-0044,2025-02-28,OPENING_BALANCE,431,Opening Balance,
MOV-0000045,PRD-0045,2025-02-28,OPENING_BALANCE,120,Opening Balance,
MOV-0000046,PRD-0046,2025-02-28,OPENING_BALANCE,78,Opening Balance,
MOV-0000047,PRD-0047,2025-02-28,OPENING_BALANCE,71,Opening Balance,
MOV-0000048,PRD-0048,2025-02-28,OPENING_BALANCE,81,Opening Balance,
MOV-0000049,PRD-0049,2025-02-28,OPENING_BALANCE,134,Opening Balance,
MOV-0000050,PRD-0050,2025-02-28,OPENING_BALANCE,209,Opening Balance,
MOV-0000051,PRD-0051,2025-02-28,OPENING_BALANCE,160,Opening Balance,
MOV-0000052,PRD-0052,2025-02-28,OPENING_BALANCE,36,Opening Balance,
MOV-0000053,PRD-0053,2025-02-28,OPENING_BALANCE,83,Opening Balance,
MOV-0000054,PRD-0054,2025-02-28,OPENING_BALANCE,150,Opening Balance,
MOV-0000055,PRD-0055,2025-02-28,OPENING_BALANCE,44,Opening Balance,
MOV-0000056,PRD-0056,2025-02-28,OPENING_BALANCE,105,Opening Balance,
MOV-0000057,PRD-0057,2025-02-28,OPENING_BALANCE,77,Opening Balance,
MOV-0000058,PRD-0058,2025-02-28,OPENING_BALANCE,110,Opening Balance,
MOV-0000059,PRD-0059,2025-02-28,OPENING_BALANCE,134,Opening Balance,
MOV-0000060,PRD-0060,2025-02-28,OPENING_BALANCE,66,Opening Balance,
MOV-0000061,PRD-0061,2025-02-28,OPENING_BALANCE,283,Opening Balance,
MOV-0000062,PRD-0062,2025-02-28,OPENING_BALANCE,195,Opening Balance,
MOV-0000063,PRD-0063,2025-02-28,OPENING_BALANCE,342,Opening Balance,
MOV-0000064,PRD-0064,2025-02-28,OPENING_BALANCE,54,Opening Balance,
MOV-0000065,PRD-0065,2025-02-28,OPENING_BALANCE,230,Opening Balance,
MOV-0000066,PRD-0066,2025-02-28,OPENING_BALANCE,175,Opening Balance,
MOV-0000067,PRD-0067,2025-02-28,OPENING_BALANCE,114,Opening Balance,
MOV-0000068,PRD-0068,2025-02-28,OPENING_BALANCE,98,Opening Balance,
MOV-0000069,PRD-0069,2025-02-28,OPENING_BALANCE,129,Opening Balance,
MOV-0000070,PRD-0070,2025-02-28,OPENING_BALANCE,186,Opening Balance,
MOV-0000071,PRD-0071,2025-02-28,OPENING_BALANCE,181,Opening Balance,
MOV-0000072,PRD-0072,2025-02-28,OPENING_BALANCE,137,Opening Balance,
MOV-0000073,PRD-0007,2026-03-19,SALE,-12,Order,ORD-000001
MOV-0000074,PRD-0034,2026-03-19,SALE,-4,Order,ORD-000001
MOV-0000075,PRD-0048,2026-03-19,SALE,-8,Order,ORD-000001
MOV-0000076,PRD-0031,2026-03-19,SALE,-36,Order,ORD-000001
MOV-0000077,PRD-0069,2025-10-29,SALE,-7,Order,ORD-000003
MOV-0000078,PRD-0048,2025-10-29,SALE,-5,Order,ORD-000003
MOV-0000079,PRD-0037,2025-10-29,SALE,-27,Order,ORD-000003
MOV-0000080,PRD-0043,2025-10-29,SALE,-9,Order,ORD-000003
MOV-0000081,PRD-0050,2025-10-29,SALE,-34,Order,ORD-000003
MOV-0000082,PRD-0014,2025-11-28,SALE,-16,Order,ORD-000004
MOV-0000083,PRD-0013,2025-11-28,SALE,-51,Order,ORD-000004
MOV-0000084,PRD-0051,2025-10-03,SALE,-31,Order,ORD-000005
MOV-0000085,PRD-0005,2025-10-30,SALE,-16,Order,ORD-000006
MOV-0000086,PRD-0045,2025-10-30,SALE,-31,Order,ORD-000006
MOV-0000087,PRD-0030,2025-10-30,SALE,-16,Order,ORD-000006
MOV-0000088,PRD-0069,2025-10-30,SALE,-3,Order,ORD-000006
MOV-0000089,PRD-0014,2025-10-30,SALE,-10,Order,ORD-000006
MOV-0000090,PRD-0062,2025-10-30,SALE,-8,Order,ORD-000006
MOV-0000091,PRD-0036,2025-10-30,SALE,-5,Order,ORD-000006
MOV-0000092,PRD-0006,2026-07-22,SALE,-20,Order,ORD-000007
MOV-0000093,PRD-0007,2026-07-22,SALE,-24,Order,ORD-000007
MOV-0000094,PRD-0052,2026-07-22,SALE,-12,Order,ORD-000007
MOV-0000095,PRD-0004,2026-07-22,SALE,-24,Order,ORD-000007
MOV-0000096,PRD-0045,2026-02-25,SALE,-10,Order,ORD-000008
MOV-0000097,PRD-0034,2025-05-01,SALE,-11,Order,ORD-000009
MOV-0000098,PRD-0019,2025-05-01,SALE,-11,Order,ORD-000009
MOV-0000099,PRD-0068,2025-05-01,SALE,-4,Order,ORD-000009
MOV-0000100,PRD-0027,2025-05-01,SALE,-52,Order,ORD-000009
MOV-0000101,PRD-0065,2025-05-01,SALE,-13,Order,ORD-000009
MOV-0000102,PRD-0049,2025-05-01,SALE,-17,Order,ORD-000009
MOV-0000103,PRD-0066,2026-01-12,SALE,-8,Order,ORD-000012
MOV-0000104,PRD-0022,2026-01-12,SALE,-3,Order,ORD-000012
MOV-0000105,PRD-0062,2026-01-12,SALE,-9,Order,ORD-000012
MOV-0000106,PRD-0069,2025-09-01,SALE,-7,Order,ORD-000013
MOV-0000107,PRD-0058,2025-09-01,SALE,-21,Order,ORD-000013
MOV-0000108,PRD-0008,2025-09-01,SALE,-3,Order,ORD-000013
MOV-0000109,PRD-0031,2025-09-01,SALE,-28,Order,ORD-000013
MOV-0000110,PRD-0005,2025-09-01,SALE,-48,Order,ORD-000013
MOV-0000111,PRD-0045,2025-09-01,SALE,-35,Order,ORD-000013
MOV-0000112,PRD-0009,2025-09-01,SALE,-14,Order,ORD-000013
MOV-0000113,PRD-0034,2025-10-28,SALE,-10,Order,ORD-000014
MOV-0000114,PRD-0009,2025-10-28,SALE,-10,Order,ORD-000014
MOV-0000115,PRD-0023,2025-10-28,SALE,-2,Order,ORD-000014
MOV-0000116,PRD-0066,2025-11-03,SALE,-3,Order,ORD-000015
MOV-0000117,PRD-0052,2025-11-03,SALE,-3,Order,ORD-000015
MOV-0000118,PRD-0047,2025-11-03,SALE,-2,Order,ORD-000015
MOV-0000119,PRD-0034,2025-11-03,SALE,-3,Order,ORD-000015
MOV-0000120,PRD-0009,2026-03-31,SALE,-2,Order,ORD-000016
MOV-0000121,PRD-0069,2026-03-31,SALE,-11,Order,ORD-000016
MOV-0000122,PRD-0003,2025-10-07,SALE,-11,Order,ORD-000019
MOV-0000123,PRD-0011,2025-10-07,SALE,-2,Order,ORD-000019
MOV-0000124,PRD-0052,2025-10-07,SALE,-4,Order,ORD-000019
MOV-0000125,PRD-0016,2025-10-07,SALE,-5,Order,ORD-000019
MOV-0000126,PRD-0007,2025-10-07,SALE,-2,Order,ORD-000019
MOV-0000127,PRD-0005,2025-10-07,SALE,-5,Order,ORD-000019
MOV-0000128,PRD-0040,2025-06-09,SALE,-17,Order,ORD-000020
MOV-0000129,PRD-0030,2025-06-09,SALE,-31,Order,ORD-000020
MOV-0000130,PRD-0068,2025-06-09,SALE,-3,Order,ORD-000020
MOV-0000131,PRD-0059,2025-06-09,SALE,-17,Order,ORD-000020
MOV-0000132,PRD-0034,2025-06-09,SALE,-10,Order,ORD-000020
