order_month,total_orders,gross_revenue,gross_profit,cancelled_orders,return_value,net_sales,average_order_value,gross_margin_pct,delivered_orders,on_time_deliveries,delayed_deliveries,avg_delivery_days,avg_delay_days,on_time_delivery_rate_pct
2025-03,107,148884160.63,29677067.5,2,628517.5,148255643.13,1385566.758224299,19.93,94,75,19,7.5,3.8421052631578947,79.79
2025-04,114,194449356.91,39851828.75,4,900943.75,193548413.16,1697793.0978947368,20.49,102,73,29,7.0,2.793103448275862,71.57
2025-05,110,195113316.08,37932295.0,8,1843212.5,193270103.58,1757000.9416363637,19.44,98,63,35,7.36734693877551,2.7714285714285714,64.29
2025-06,123,242745930.78,47466036.25,6,1745972.5,240999958.28,1959349.2543089432,19.55,108,74,34,7.037037037037037,3.0588235294117645,68.52
2025-07,126,230241092.14000002,46639018.75,3,3962607.5,226278484.64000002,1795860.9892063492,20.26,111,77,34,6.792792792792793,2.5588235294117645,69.37
2025-08,127,210936355.05,43224795.0,3,3966040.0,206970315.05,1629687.5200787403,20.49,111,82,29,6.873873873873874,3.310344827586207,73.87
2025-09,115,187377211.92,38322528.75,6,2771681.25,184605530.67,1605265.4840869564,20.45,107,77,30,6.831775700934579,2.7666666666666666,71.96
2025-10,133,197558777.57,40252072.5,2,1040847.5,196517930.07,1477578.4215789472,20.37,120,90,30,7.5,3.2666666666666666,75.0
2025-11,169,265428821.35,54790608.75,4,1259297.5,264169523.85,1563133.2772189348,20.64,147,125,22,6.7482993197278915,2.9545454545454546,85.03
2025-12,173,266229874.48,53614575.0,6,4750096.25,261479778.23,1511443.8047976878,20.14,162,122,40,7.166666666666667,2.85,75.31
2026-01,152,231228962.31,45740785.0,3,7992783.75,223236178.56,1468659.0694736843,19.78,132,111,21,6.598484848484849,2.9047619047619047,84.09
2026-02,161,312440922.34,60963608.75,8,3494747.5,308946174.84,1918920.3406211177,19.51,145,107,38,6.786206896551724,2.4210526315789473,73.79
2026-03,168,256411353.54,51452898.75,7,17183387.5,239227966.04,1423975.9883333333,20.07,151,109,42,7.013245033112582,3.0714285714285716,72.19
2026-04,167,267719454.78,53964183.75,5,4569125.0,263150329.78,1575750.477724551,20.16,154,112,42,7.214285714285714,2.642857142857143,72.73
2026-05,162,269495434.88,53032981.25,9,12469231.25,257026203.63,1586581.5038888888,19.68,147,111,36,6.931972789115647,2.4722222222222223,75.51
2026-06,170,303291757.15,59071092.5,14,15476158.75,287815598.4,1693032.9317647058,19.48,153,114,39,6.980392156862745,2.948717948717949,74.51
2026-07,187,262205412.04,53180771.25,12,10383963.75,251821448.29,1346638.7609090907,20.28,170,131,39,6.829411764705882,2.641025641025641,77.06
2026-08,176,339818641.61,68498943.75,5,2003023.75,337815617.86,1919406.919659091,20.16,157,122,35,6.751592356687898,3.142857142857143,77.71
