order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_percent,discount_amount,line_total,line_cost
ITM-0000001,ORD-000001,PRD-0007,12,33250.0,23700.0,5.0,19950.0,379050.0,284400.0
ITM-0000002,ORD-000001,PRD-0034,4,2800.0,1650.0,5.0,560.0,10640.0,6600.0
ITM-0000003,ORD-000001,PRD-0048,8,160400.0,117650.0,5.0,64160.0,1219040.0,941200.0
ITM-0000004,ORD-000001,PRD-0031,36,1600.0,900.0,0.0,0.0,57600.0,32400.0
ITM-0000005,ORD-000002,PRD-0050,14,1200.0,650.0,12.5,2100.0,14700.0,9100.0
ITM-0000006,ORD-000002,PRD-0069,14,41700.0,30300.0,0.0,0.0,583800.0,424200.0
ITM-0000007,ORD-000002,PRD-0052,4,40400.0,29250.0,2.5,4040.0,157560.0,117000.0
ITM-0000008,ORD-000002,PRD-0028,47,6400.0,4200.0,10.0,30080.0,270720.0,197400.0
ITM-0000009,ORD-000002,PRD-0066,47,5300.0,3250.0,7.5,18682.5,230417.5,152750.0
ITM-0000010,ORD-000002,PRD-0004,54,7100.0,4600.0,10.0,38340.0,345060.0,248400.0
ITM-0000011,ORD-000002,PRD-0005,32,11500.0,7900.0,0.0,0.0,368000.0,252800.0
ITM-0000012,ORD-000003,PRD-0069,7,41700.0,30300.0,2.5,7297.5,284602.5,212100.0
ITM-0000013,ORD-000003,PRD-0048,5,160400.0,117650.0,5.0,40100.0,761900.0,588250.0
ITM-0000014,ORD-000003,PRD-0037,27,7650.0,5500.0,5.0,10327.5,196222.5,148500.0
ITM-0000015,ORD-000003,PRD-0043,9,35950.0,25500.0,7.5,24266.25,299283.75,229500.0
ITM-0000016,ORD-000003,PRD-0050,34,1200.0,650.0,5.0,2040.0,38760.0,22100.0
ITM-0000017,ORD-000004,PRD-0014,16,199750.0,146450.0,5.0,159800.0,3036200.0,2343200.0
ITM-0000018,ORD-000004,PRD-0013,51,8750.0,5350.0,0.0,0.0,446250.0,272850.0
ITM-0000019,ORD-000005,PRD-0051,31,7700.0,4850.0,5.0,11935.0,226765.0,150350.0
ITM-0000020,ORD-000006,PRD-0005,16,11500.0,7900.0,5.0,9200.0,174800.0,126400.0
ITM-0000021,ORD-000006,PRD-0045,31,4400.0,2800.0,5.0,6820.0,129580.0,86800.0
ITM-0000022,ORD-000006,PRD-0030,16,35850.0,25550.0,0.0,0.0,573600.0,408800.0
ITM-0000023,ORD-000006,PRD-0069,3,41700.0,30300.0,5.0,6255.0,118845.0,90900.0
ITM-0000024,ORD-000006,PRD-0014,10,199750.0,146450.0,7.5,149812.5,1847687.5,1464500.0
ITM-0000025,ORD-000006,PRD-0062,8,13700.0,9000.0,10.0,10960.0,98640.0,72000.0
ITM-0000026,ORD-000006,PRD-0036,5,170650.0,122850.0,10.0,85325.0,767925.0,614250.0
ITM-0000027,ORD-000007,PRD-0006,20,27000.0,19650.0,7.5,40500.0,499500.0,393000.0
ITM-0000028,ORD-000007,PRD-0007,24,33250.0,23700.0,5.0,39900.0,758100.0,568800.0
ITM-0000029,ORD-000007,PRD-0052,12,40400.0,29250.0,0.0,0.0,484800.0,351000.0
ITM-0000030,ORD-000007,PRD-0004,24,7100.0,4600.0,5.0,8520.0,161880.0,110400.0
ITM-0000031,ORD-000008,PRD-0045,10,4400.0,2800.0,0.0,0.0,44000.0,28000.0
ITM-0000032,ORD-000009,PRD-0034,11,2800.0,1650.0,5.0,1540.0,29260.0,18150.0
ITM-0000033,ORD-000009,PRD-0019,11,2950.0,1850.0,2.5,811.25,31638.75,20350.0
ITM-0000034,ORD-000009,PRD-0068,4,29000.0,20900.0,5.0,5800.0,110200.0,83600.0
ITM-0000035,ORD-000009,PRD-0027,52,11500.0,7200.0,7.5,44850.0,553150.0,374400.0
ITM-0000036,ORD-000009,PRD-0065,13,9000.0,5800.0,5.0,5850.0,111150.0,75400.0
ITM-0000037,ORD-000009,PRD-0049,17,2250.0,1400.0,7.5,2868.75,35381.25,23800.0
ITM-0000038,ORD-000010,PRD-0022,6,13950.0,9250.0,2.5,2092.5,81607.5,55500.0
ITM-0000039,ORD-000010,PRD-0007,5,33250.0,23700.0,10.0,16625.0,149625.0,118500.0
ITM-0000040,ORD-000010,PRD-0053,3,50250.0,36300.0,10.0,15075.0,135675.0,108900.0
ITM-0000041,ORD-000010,PRD-0025,2,32700.0,22850.0,10.0,6540.0,58860.0,45700.0
ITM-0000042,ORD-000011,PRD-0052,8,40400.0,29250.0,5.0,16160.0,307040.0,234000.0
ITM-0000043,ORD-000011,PRD-0007,3,33250.0,23700.0,7.5,7481.25,92268.75,71100.0
ITM-0000044,ORD-000011,PRD-0024,24,17950.0,12350.0,7.5,32310.0,398490.0,296400.0
ITM-0000045,ORD-000012,PRD-0066,8,5300.0,3250.0,0.0,0.0,42400.0,26000.0
ITM-0000046,ORD-000012,PRD-0022,3,13950.0,9250.0,7.5,3138.75,38711.25,27750.0
ITM-0000047,ORD-000012,PRD-0062,9,13700.0,9000.0,2.5,3082.5,120217.5,81000.0
ITM-0000048,ORD-000013,PRD-0069,7,41700.0,30300.0,2.5,7297.5,284602.5,212100.0
ITM-0000049,ORD-000013,PRD-0058,21,28050.0,19450.0,5.0,29452.5,559597.5,408450.0
ITM-0000050,ORD-000013,PRD-0008,3,11400.0,7800.0,7.5,2565.0,31635.0,23400.0
ITM-0000051,ORD-000013,PRD-0031,28,1600.0,900.0,12.5,5600.0,39200.0,25200.0
