payment_id,invoice_id,order_id,customer_id,payment_date,payment_method,payment_amount
PAY-0000001,INV-000001,ORD-000003,CUS-0004,2026-02-12,Cheque,1865307.12
PAY-0000002,INV-000002,ORD-000004,CUS-0046,2025-12-26,Bank Transfer,4109291.0
PAY-0000003,INV-000003,ORD-000005,CUS-0076,2026-01-10,Bank Transfer,267582.7
PAY-0000004,INV-000004,ORD-000006,CUS-0039,2025-11-26,Bank Transfer,4379071.45
PAY-0000005,INV-000005,ORD-000007,CUS-0005,2026-08-16,Online Transfer,2247050.4
PAY-0000006,INV-000006,ORD-000008,CUS-0037,2026-03-22,Bank Transfer,54920.0
PAY-0000007,INV-000007,ORD-000009,CUS-0045,2025-05-16,Cash,639797.76
PAY-0000008,INV-000007,ORD-000009,CUS-0045,2026-02-25,Bank Transfer,387722.64
PAY-0000009,INV-000008,ORD-000012,CUS-0066,2026-02-01,Cheque,237567.92
PAY-0000010,INV-000009,ORD-000013,CUS-0055,2026-06-07,Bank Transfer,3118191.3
PAY-0000011,INV-000010,ORD-000014,CUS-0005,2026-01-31,Bank Transfer,910756.45
PAY-0000012,INV-000011,ORD-000015,CUS-0068,2026-01-09,Bank Transfer,329456.0
PAY-0000013,INV-000012,ORD-000016,CUS-0115,2026-04-17,Bank Transfer,203333.98
PAY-0000014,INV-000012,ORD-000016,CUS-0115,2026-08-12,Online Transfer,438783.67
PAY-0000015,INV-000013,ORD-000019,CUS-0067,2025-10-18,Bank Transfer,331994.64
PAY-0000016,INV-000013,ORD-000019,CUS-0067,2025-12-14,Bank Transfer,1302587.09
PAY-0000017,INV-000014,ORD-000020,CUS-0039,2025-06-25,Cheque,4300799.1
PAY-0000018,INV-000015,ORD-000021,CUS-0067,2025-06-15,Online Transfer,1480037.12
PAY-0000019,INV-000016,ORD-000022,CUS-0076,2026-01-20,Cheque,936575.88
PAY-0000020,INV-000016,ORD-000022,CUS-0076,2026-04-21,Cheque,36539.23
PAY-0000021,INV-000016,ORD-000022,CUS-0076,2026-04-24,Bank Transfer,444053.09
PAY-0000022,INV-000017,ORD-000024,CUS-0060,2026-05-20,Bank Transfer,185944.4
PAY-0000023,INV-000018,ORD-000025,CUS-0011,2026-06-18,Bank Transfer,1375730.45
PAY-0000024,INV-000018,ORD-000025,CUS-0011,2026-07-29,Cash,67658.82
PAY-0000025,INV-000019,ORD-000028,CUS-0058,2026-05-22,Online Transfer,2520810.4
PAY-0000026,INV-000020,ORD-000029,CUS-0096,2026-02-25,Bank Transfer,853865.7
PAY-0000027,INV-000021,ORD-000031,CUS-0003,2026-08-18,Cheque,274771.85
PAY-0000028,INV-000022,ORD-000032,CUS-0004,2026-02-16,Bank Transfer,1011276.22
PAY-0000029,INV-000023,ORD-000033,CUS-0093,2026-06-20,Bank Transfer,675461.5
PAY-0000030,INV-000024,ORD-000034,CUS-0050,2026-05-11,Bank Transfer,1011476.82
PAY-0000031,INV-000025,ORD-000035,CUS-0077,2026-08-26,Bank Transfer,81645.3
PAY-0000032,INV-000026,ORD-000039,CUS-0010,2026-06-25,Bank Transfer,130708.6
PAY-0000033,INV-000027,ORD-000040,CUS-0055,2026-04-06,Cheque,808241.0
PAY-0000034,INV-000028,ORD-000041,CUS-0002,2025-11-30,Online Transfer,3595519.0
PAY-0000035,INV-000029,ORD-000044,CUS-0032,2026-06-25,Cheque,381809.65
PAY-0000036,INV-000030,ORD-000045,CUS-0005,2026-07-04,Cheque,3290631.03
PAY-0000037,INV-000030,ORD-000045,CUS-0005,2026-07-28,Cheque,1540061.82
PAY-0000038,INV-000031,ORD-000046,CUS-0087,2026-06-27,Cheque,84243.0
PAY-0000039,INV-000032,ORD-000047,CUS-0069,2025-09-15,Cheque,91494.13
PAY-0000040,INV-000032,ORD-000047,CUS-0069,2026-01-08,Online Transfer,312467.07
PAY-0000041,INV-000033,ORD-000048,CUS-0036,2026-08-07,Bank Transfer,164579.58
PAY-0000042,INV-000033,ORD-000048,CUS-0036,2026-08-10,Bank Transfer,155981.24
PAY-0000043,INV-000033,ORD-000048,CUS-0036,2026-08-16,Cheque,886965.04
PAY-0000044,INV-000034,ORD-000049,CUS-0060,2025-05-15,Bank Transfer,418289.35
PAY-0000045,INV-000035,ORD-000050,CUS-0075,2025-08-07,Bank Transfer,913943.31
PAY-0000046,INV-000035,ORD-000050,CUS-0075,2026-03-31,Cheque,3960387.41
PAY-0000047,INV-000036,ORD-000051,CUS-0113,2025-07-13,Bank Transfer,2179943.38
PAY-0000048,INV-000036,ORD-000051,CUS-0113,2025-12-08,Bank Transfer,1553436.79
PAY-0000049,INV-000037,ORD-000052,CUS-0061,2025-11-19,Bank Transfer,137694.3
PAY-0000050,INV-000037,ORD-000052,CUS-0061,2025-12-02,Cheque,81564.45
PAY-0000051,INV-000038,ORD-000053,CUS-0095,2025-11-24,Cheque,2023978.3
PAY-0000052,INV-000038,ORD-000053,CUS-0095,2026-06-27,Bank Transfer,3915817.2
PAY-0000053,INV-000039,ORD-000054,CUS-0035,2026-08-02,Bank Transfer,5973549.4
PAY-0000054,INV-000040,ORD-000055,CUS-0119,2025-10-11,Bank Transfer,3456.14
PAY-0000055,INV-000040,ORD-000055,CUS-0119,2026-06-12,Bank Transfer,531597.16
PAY-0000056,INV-000041,ORD-000056,CUS-0028,2026-04-26,Online Transfer,1506040.5
PAY-0000057,INV-000041,ORD-000056,CUS-0028,2026-07-02,Online Transfer,495139.2
PAY-0000058,INV-000042,ORD-000057,CUS-0035,2025-12-29,Bank Transfer,812108.45
PAY-0000059,INV-000043,ORD-000059,CUS-0043,2025-06-30,Cheque,3620693.71
PAY-0000060,INV-000044,ORD-000060,CUS-0098,2026-08-19,Online Transfer,849347.78
PAY-0000061,INV-000045,ORD-000061,CUS-0001,2026-04-05,Bank Transfer,5602445.3
PAY-0000062,INV-000046,ORD-000062,CUS-0055,2026-06-19,Online Transfer,742954.55
PAY-0000063,INV-000047,ORD-000063,CUS-0045,2026-06-22,Bank Transfer,134166.0
PAY-0000064,INV-000048,ORD-000064,CUS-0012,2026-05-07,Bank Transfer,288792.31
PAY-0000065,INV-000048,ORD-000064,CUS-0012,2026-06-02,Bank Transfer,97605.22
PAY-0000066,INV-000048,ORD-000064,CUS-0012,2026-08-26,Bank Transfer,315749.67
